Event,Age_at_time_of_Swim,Time,Formatted_Time
100 BK SCY,5,102.6,1:42.60
100 BK SCY,6,100.87,1:40.87
100 BK SCY,7,90.81071428571428,1:30.81
100 BK SCY,8,85.69578947368421,1:25.70
100 BK SCY,9,81.20890675241158,1:21.21
100 BK SCY,10,75.21951923076924,1:15.22
100 BK SCY,11,68.82405405405406,1:08.82
100 BK SCY,12,63.96170411985019,1:03.96
100 BK SCY,13,60.832993079584774,1:00.83
100 BK SCY,14,58.15679591836735,0:58.16
100 BK SCY,15,56.44378818737271,0:56.44
100 BK SCY,16,55.50387951807229,0:55.50
100 BK SCY,17,55.441055408970975,0:55.44
100 BK SCY,18,53.7837898089172,0:53.78
100 BK SCY,19,52.967846607669614,0:52.97
100 BK SCY,20,52.57837735849057,0:52.58
100 BK SCY,21,52.54254901960785,0:52.54
100 BK SCY,22,52.125533980582524,0:52.13
100 BK SCY,23,51.0865,0:51.09
100 BK SCY,28,50.7,0:50.70
100 BR SCY,6,117.15,1:57.15
100 BR SCY,7,109.91666666666667,1:49.92
100 BR SCY,8,101.87966101694914,1:41.88
100 BR SCY,9,96.42964601769911,1:36.43
100 BR SCY,10,87.19272727272727,1:27.19
100 BR SCY,11,78.9096256684492,1:18.91
100 BR SCY,12,73.49160305343511,1:13.49
100 BR SCY,13,70.07706855791962,1:10.08
100 BR SCY,14,67.08724489795918,1:07.09
100 BR SCY,15,65.58557803468209,1:05.59
100 BR SCY,16,64.30759450171821,1:04.31
100 BR SCY,17,63.73611295681063,1:03.74
100 BR SCY,18,62.35504385964913,1:02.36
100 BR SCY,19,60.87826086956522,1:00.88
100 BR SCY,20,60.648466257668716,1:00.65
100 BR SCY,21,59.872767857142854,0:59.87
100 BR SCY,22,60.26225806451613,1:00.26
100 BR SCY,23,59.05352941176471,0:59.05
100 FL SCY,6,106.14000000000001,1:46.14
100 FL SCY,7,92.32142857142857,1:32.32
100 FL SCY,8,86.70140845070422,1:26.70
100 FL SCY,9,82.21186440677967,1:22.21
100 FL SCY,10,74.65465838509317,1:14.65
100 FL SCY,11,68.70298288508558,1:08.70
100 FL SCY,12,63.86117525773196,1:03.86
100 FL SCY,13,60.74094845360825,1:00.74
100 FL SCY,14,58.10564663023679,0:58.11
100 FL SCY,15,56.53661733615222,0:56.54
100 FL SCY,16,55.79341860465116,0:55.79
100 FL SCY,17,55.22997572815534,0:55.23
100 FL SCY,18,54.49221818181818,0:54.49
100 FL SCY,19,53.65413385826771,0:53.65
100 FL SCY,20,52.99824074074075,0:53.00
100 FL SCY,21,52.60860103626943,0:52.61
100 FL SCY,22,52.44916083916084,0:52.45
100 FL SCY,23,52.92263157894737,0:52.92
100 FL SCY,24,52.98,0:52.98
100 FR SCY,5,110.48571428571428,1:50.49
100 FR SCY,6,95.95961538461538,1:35.96
100 FR SCY,7,88.12671755725191,1:28.13
100 FR SCY,8,79.35770212765958,1:19.36
100 FR SCY,9,72.23089020771513,1:12.23
100 FR SCY,10,66.89501006036217,1:06.90
100 FR SCY,11,61.35190871369294,1:01.35
100 FR SCY,12,57.380070546737215,0:57.38
100 FR SCY,13,55.258120805369124,0:55.26
100 FR SCY,14,53.51982608695653,0:53.52
100 FR SCY,15,52.40007905138339,0:52.40
100 FR SCY,16,51.71263888888889,0:51.71
100 FR SCY,17,51.47,0:51.47
100 FR SCY,18,50.88430493273543,0:50.88
100 FR SCY,19,50.182270270270266,0:50.18
100 FR SCY,20,49.66464480874316,0:49.66
100 FR SCY,21,49.18588888888888,0:49.19
100 FR SCY,22,48.780707070707074,0:48.78
100 FR SCY,23,48.23222222222222,0:48.23
