Event,Age_at_time_of_Swim,Time,Formatted_Time
100 BK,5,102.6,1:42.60
100 BK,6,99.5,1:39.50
100 BK,7,90.21000000000001,1:30.21
100 BK,8,86.98157894736842,1:26.98
100 BK,9,81.57783673469388,1:21.58
100 BK,10,75.25495297805644,1:15.25
100 BK,11,69.3168156424581,1:09.32
100 BK,12,64.58380462724935,1:04.58
100 BK,13,61.942277486910996,1:01.94
100 BK,14,59.41632996632997,0:59.42
100 BK,15,57.650677966101696,0:57.65
100 BK,16,56.75618257261411,0:56.76
100 BK,17,56.80947598253275,0:56.81
100 BK,18,55.08370967741936,0:55.08
100 BK,19,53.298256880733945,0:53.30
100 BK,20,53.12911764705883,0:53.13
100 BK,21,53.02506172839506,0:53.03
100 BK,22,52.55016666666667,0:52.55
100 BK,23,51.717333333333336,0:51.72
100 BK,28,50.7,0:50.70
100 BR,6,117.15,1:57.15
100 BR,7,107.87727272727274,1:47.88
100 BR,8,101.57346938775511,1:41.57
100 BR,9,96.80764705882352,1:36.81
100 BR,10,87.92991803278689,1:27.93
100 BR,11,79.46127819548873,1:19.46
100 BR,12,74.55970149253731,1:14.56
100 BR,13,71.1443661971831,1:11.14
100 BR,14,68.18464912280702,1:08.18
100 BR,15,66.94576530612245,1:06.95
100 BR,16,65.63963855421687,1:05.64
100 BR,17,65.13821656050956,1:05.14
100 BR,18,64.77444444444444,1:04.77
100 BR,19,61.92848484848485,1:01.93
100 BR,20,63.345,1:03.34
100 BR,21,60.95157894736842,1:00.95
100 BR,22,62.78888888888889,1:02.79
100 BR,23,58.42,0:58.42
100 FL,6,119.85000000000001,1:59.85
100 FL,7,95.8375,1:35.84
100 FL,8,87.8795918367347,1:27.88
100 FL,9,83.08563535911603,1:23.09
100 FL,10,75.34274193548387,1:15.34
100 FL,11,68.55771812080538,1:08.56
100 FL,12,64.31812138728324,1:04.32
100 FL,13,61.14023121387283,1:01.14
100 FL,14,58.879614243323445,0:58.88
100 FL,15,57.26572413793104,0:57.27
100 FL,16,56.50046428571428,0:56.50
100 FL,17,55.93,0:55.93
100 FL,18,55.243,0:55.24
100 FL,19,54.422574257425744,0:54.42
100 FL,20,53.825384615384614,0:53.83
100 FL,21,53.30441176470588,0:53.30
100 FL,22,52.83162162162162,0:52.83
100 FL,23,53.327999999999996,0:53.33
100 FR,5,110.95,1:50.95
100 FR,6,98.33500000000001,1:38.34
100 FR,7,89.70892857142857,1:29.71
100 FR,8,80.2170297029703,1:20.22
100 FR,9,72.67712328767124,1:12.68
100 FR,10,67.26709534368071,1:07.27
100 FR,11,61.71215639810426,1:01.71
100 FR,12,57.509552845528454,0:57.51
100 FR,13,55.43412790697674,0:55.43
100 FR,14,53.7428716904277,0:53.74
100 FR,15,52.60376168224299,0:52.60
100 FR,16,51.943823529411766,0:51.94
100 FR,17,51.76764542936288,0:51.77
100 FR,18,51.230000000000004,0:51.23
100 FR,19,50.7275,0:50.73
100 FR,20,50.55448598130841,0:50.55
100 FR,21,50.092127659574466,0:50.09
100 FR,22,49.46736842105263,0:49.47
100 FR,23,50.30166666666667,0:50.30
100 FR,24,49.51,0:49.51
100 FR,28,52.6,0:52.60
100 IM,5,121.87142857142858,2:01.87
100 IM,6,105.9391304347826,1:45.94
100 IM,7,101.23360000000001,1:41.23
100 IM,8,90.76979591836734,1:30.77
100 IM,9,83.03922261484098,1:23.04
100 IM,10,77.05333333333333,1:17.05
100 IM,11,69.97777777777777,1:09.98
100 IM,12,65.5594623655914,1:05.56
100 IM,13,62.31790697674419,1:02.32
100 IM,14,60.48847457627119,1:00.49
100 IM,15,60.1247619047619,1:00.12
100 IM,16,58.45738095238095,0:58.46
100 IM,17,58.63323529411765,0:58.63
100 IM,18,57.33894736842105,0:57.34
100 IM,19,57.36555555555555,0:57.37
100 IM,20,56.91263157894736,0:56.91
100 IM,21,56.406875,0:56.41
100 IM,22,59.21,0:59.21
1000 FR,8,723.4,12:03.40
1000 FR,9,766.8666666666667,12:46.87
1000 FR,10,748.2,12:28.20
1000 FR,11,679.828125,11:19.83
1000 FR,12,661.7814814814815,11:01.78
1000 FR,13,643.365625,10:43.37
1000 FR,14,633.6545454545454,10:33.65
1000 FR,15,622.0565217391304,10:22.06
1000 FR,16,607.52,10:07.52
1000 FR,17,610.3464285714286,10:10.35
1000 FR,18,585.4583333333334,9:45.46
1000 FR,19,597.3615384615384,9:57.36
1000 FR,20,598.3642857142858,9:58.36
1000 FR,21,590.8904761904762,9:50.89
1000 FR,22,599.4444444444445,9:59.44
1000 FR,23,575.2333333333333,9:35.23
1650 FR,8,1258.9,20:58.90
1650 FR,9,1231.85,20:31.85
1650 FR,10,1431.3,23:51.30
1650 FR,11,1149.0727272727274,19:09.07
1650 FR,12,1128.440625,18:48.44
1650 FR,13,1105.33,18:25.33
1650 FR,14,1064.51,17:44.51
1650 FR,15,1043.8166666666666,17:23.82
1650 FR,16,1014.975,16:54.98
1650 FR,17,1025.391304347826,17:05.39
1650 FR,18,988.4117647058823,16:28.41
1650 FR,19,968.65,16:08.65
1650 FR,20,985.5875,16:25.59
1650 FR,21,961.3444444444444,16:01.34
1650 FR,22,954.15,15:54.15
200 BK,8,151.3,2:31.30
200 BK,9,162.64000000000001,2:42.64
200 BK,10,152.625,2:32.62
200 BK,11,145.04222222222222,2:25.04
200 BK,12,135.83546511627907,2:15.84
200 BK,13,132.90914454277285,2:12.91
200 BK,14,127.86944444444445,2:07.87
200 BK,15,125.12627118644068,2:05.13
200 BK,16,121.97626262626262,2:01.98
200 BK,17,121.02215568862276,2:01.02
200 BK,18,118.75530303030304,1:58.76
200 BK,19,117.58684210526316,1:57.59
200 BK,20,117.32065217391305,1:57.32
200 BK,21,115.1859375,1:55.19
200 BK,22,116.3967741935484,1:56.40
200 BK,23,115.65714285714286,1:55.66
200 BR,9,198.85000000000002,3:18.85
200 BR,10,177.43,2:57.43
200 BR,11,167.83636363636364,2:47.84
200 BR,12,159.14117647058825,2:39.14
200 BR,13,153.6736170212766,2:33.67
200 BR,14,146.42946428571426,2:26.43
200 BR,15,144.72213740458014,2:24.72
200 BR,16,140.36689655172415,2:20.37
200 BR,17,141.97629629629628,2:21.98
200 BR,18,138.79701492537313,2:18.80
200 BR,19,134.17777777777778,2:14.18
200 BR,20,131.5888888888889,2:11.59
200 BR,21,132.29666666666668,2:12.30
200 BR,22,132.63636363636363,2:12.64
200 BR,23,132.84444444444443,2:12.84
200 FL,9,158.0,2:38.00
200 FL,10,163.02,2:43.02
200 FL,11,150.9359375,2:30.94
200 FL,12,141.5436170212766,2:21.54
200 FL,13,136.1809523809524,2:16.18
200 FL,14,130.91361256544502,2:10.91
200 FL,15,128.9787878787879,2:08.98
200 FL,16,123.0622641509434,2:03.06
200 FL,17,123.84117647058825,2:03.84
200 FL,18,120.76279069767442,2:00.76
200 FL,19,118.76907216494845,1:58.77
200 FL,20,118.08644067796611,1:58.09
200 FL,21,119.27586206896552,1:59.28
200 FL,22,114.89090909090909,1:54.89
200 FL,23,115.33333333333333,1:55.33
200 FL,24,115.3,1:55.30
200 FR,6,197.2,3:17.20
200 FR,7,179.5666666666667,2:59.57
200 FR,8,169.9095890410959,2:49.91
200 FR,9,155.4605504587156,2:35.46
200 FR,10,143.76807817589577,2:23.77
200 FR,11,132.24432717678098,2:12.24
200 FR,12,124.08426966292134,2:04.08
200 FR,13,119.7239708939709,1:59.72
200 FR,14,116.06858719646799,1:56.07
200 FR,15,112.97540897097626,1:52.98
200 FR,16,111.22589873417722,1:51.23
200 FR,17,110.48654320987654,1:50.49
200 FR,18,108.95334928229666,1:48.95
200 FR,19,107.88623711340206,1:47.89
200 FR,20,107.55908450704224,1:47.56
200 FR,21,107.44328358208955,1:47.44
200 FR,22,107.45310344827585,1:47.45
200 FR,23,107.12481481481481,1:47.12
200 FR,24,107.0,1:47.00
200 FR,26,107.94000000000001,1:47.94
200 FR,27,108.6,1:48.60
200 FR,28,108.814,1:48.81
200 FR,30,108.9,1:48.90
200 IM,6,215.55,3:35.55
200 IM,7,196.7941176470588,3:16.79
200 IM,8,189.22830188679245,3:09.23
200 IM,9,171.96243093922652,2:51.96
200 IM,10,160.6727272727273,2:40.67
200 IM,11,150.8877813504823,2:30.89
200 IM,12,140.65583756345177,2:20.66
200 IM,13,134.87079831932772,2:14.87
200 IM,14,130.43956989247312,2:10.44
200 IM,15,127.28823529411764,2:07.29
200 IM,16,125.32474916387959,2:05.32
200 IM,17,124.24437499999999,2:04.24
200 IM,18,122.15277777777777,2:02.15
200 IM,19,120.84491978609626,2:00.84
200 IM,20,119.18672985781991,1:59.19
200 IM,21,118.03384615384616,1:58.03
200 IM,22,118.16666666666667,1:58.17
200 IM,23,119.4,1:59.40
400 IM,9,350.23333333333335,5:50.23
400 IM,10,323.93636363636364,5:23.94
400 IM,11,307.81311475409836,5:07.81
400 IM,12,292.9744,4:52.97
400 IM,13,283.438671875,4:43.44
400 IM,14,274.69568965517243,4:34.70
400 IM,15,270.0958823529412,4:30.10
400 IM,16,265.61,4:25.61
400 IM,17,263.2985294117647,4:23.30
400 IM,18,260.70410958904114,4:20.70
400 IM,19,254.525,4:14.53
400 IM,20,254.66511627906976,4:14.67
400 IM,21,255.6,4:15.60
400 IM,22,251.9111111111111,4:11.91
400 IM,24,248.3,4:08.30
400 IM,27,240.8,4:00.80
50 FR,5,55.6642105263158,0:55.66
50 FR,6,45.939528301886796,0:45.94
50 FR,7,40.66331521739131,0:40.66
50 FR,8,35.657875000000004,0:35.66
50 FR,9,33.180655339805824,0:33.18
50 FR,10,30.656153846153842,0:30.66
50 FR,11,28.20122807017544,0:28.20
50 FR,12,26.38885436893204,0:26.39
50 FR,13,25.386158536585366,0:25.39
50 FR,14,24.768877118644067,0:24.77
50 FR,15,24.118647959183676,0:24.12
50 FR,16,23.81198275862069,0:23.81
50 FR,17,23.799374999999998,0:23.80
50 FR,18,23.708484848484847,0:23.71
50 FR,19,23.015038759689922,0:23.02
50 FR,20,22.716864406779663,0:22.72
50 FR,21,22.498863636363637,0:22.50
50 FR,22,22.43125,0:22.43
50 FR,23,22.08555555555556,0:22.09
500 FR,6,522.8499999999999,8:42.85
500 FR,7,422.5125,7:02.51
500 FR,8,416.97058823529414,6:56.97
500 FR,9,395.2160714285714,6:35.22
500 FR,10,379.3265486725664,6:19.33
500 FR,11,354.1849514563107,5:54.18
500 FR,12,331.7359183673469,5:31.74
500 FR,13,318.072030651341,5:18.07
500 FR,14,308.89375,5:08.89
500 FR,15,301.1783251231527,5:01.18
500 FR,16,295.35714285714283,4:55.36
500 FR,17,296.38048780487804,4:56.38
500 FR,18,290.93918918918916,4:50.94
500 FR,19,285.961797752809,4:45.96
500 FR,20,286.748,4:46.75
500 FR,21,286.1461038961039,4:46.15
500 FR,22,286.2944444444444,4:46.29
500 FR,23,282.525,4:42.52
500 FR,24,284.075,4:44.07
500 FR,26,283.26000000000005,4:43.26
500 FR,27,277.6,4:37.60
500 FR,28,284.64,4:44.64
500 FR,29,280.0,4:40.00
500 FR,30,283.1,4:43.10
500 FR,31,281.125,4:41.12
