Event,Age_at_time_of_Swim,Time,Formatted_Time
100 BK,6,102.24,1:42.24
100 BK,7,92.3125,1:32.31
100 BK,8,80.55263157894737,1:20.55
100 BK,9,79.83939393939393,1:19.84
100 BK,10,75.10298969072164,1:15.10
100 BK,11,67.38983739837398,1:07.39
100 BK,12,62.29275862068966,1:02.29
100 BK,13,58.671020408163265,0:58.67
100 BK,14,56.21854922279793,0:56.22
100 BK,15,54.62729591836735,0:54.63
100 BK,16,53.76936781609196,0:53.77
100 BK,17,53.351933333333335,0:53.35
100 BK,18,52.935421052631575,0:52.94
100 BK,19,52.81126086956522,0:52.81
100 BK,20,52.23374233128835,0:52.23
100 BK,21,52.224796747967474,0:52.22
100 BK,22,51.53302325581396,0:51.53
100 BK,23,49.194,0:49.19
100 BR,7,132.35,2:12.35
100 BR,8,103.38,1:43.38
100 BR,9,95.28214285714286,1:35.28
100 BR,10,85.10116279069767,1:25.10
100 BR,11,77.55092592592592,1:17.55
100 BR,12,71.2016,1:11.20
100 BR,13,67.89640287769784,1:07.90
100 BR,14,65.56158536585366,1:05.56
100 BR,15,63.80826666666667,1:03.81
100 BR,16,62.53864,1:02.54
100 BR,17,62.20743055555556,1:02.21
100 BR,18,61.23839743589744,1:01.24
100 BR,19,60.6487417218543,1:00.65
100 BR,20,59.98977099236641,0:59.99
100 BR,21,59.65236559139785,0:59.65
100 BR,22,59.833207547169806,0:59.83
100 BR,23,59.24846153846154,0:59.25
100 FL,6,97.0,1:37.00
100 FL,7,87.63333333333333,1:27.63
100 FL,8,84.07727272727273,1:24.08
100 FL,9,79.33636363636364,1:19.34
100 FL,10,72.34864864864865,1:12.35
100 FL,11,69.09297297297297,1:09.09
100 FL,12,62.72374100719425,1:02.72
100 FL,13,59.74705035971223,0:59.75
100 FL,14,56.87533018867924,0:56.88
100 FL,15,55.381202185792354,0:55.38
100 FL,16,54.4736,0:54.47
100 FL,17,54.044967320261435,0:54.04
100 FL,18,53.59128,0:53.59
100 FL,19,53.14686274509804,0:53.15
100 FL,20,52.64218543046358,0:52.64
100 FL,21,52.23008,0:52.23
100 FL,22,52.31566037735849,0:52.32
100 FL,23,52.777857142857144,0:52.78
100 FL,24,52.98,0:52.98
100 FR,5,107.7,1:47.70
100 FR,6,88.04166666666667,1:28.04
100 FR,7,78.8,1:18.80
100 FR,8,74.09757575757575,1:14.10
100 FR,9,69.33533333333334,1:09.34
100 FR,10,63.246956521739136,1:03.25
100 FR,11,58.81816666666667,0:58.82
100 FR,12,56.53066666666667,0:56.53
100 FR,13,54.122875,0:54.12
100 FR,14,52.216071428571425,0:52.22
100 FR,15,51.2824358974359,0:51.28
100 FR,16,50.221896551724136,0:50.22
100 FR,17,49.67916666666667,0:49.68
100 FR,18,49.656734693877546,0:49.66
100 FR,19,49.17569230769231,0:49.18
100 FR,20,48.41184210526316,0:48.41
100 FR,21,48.1953488372093,0:48.20
100 FR,22,48.35295081967213,0:48.35
100 FR,23,47.1975,0:47.20
100 FR,24,49.12,0:49.12
100 FR,28,47.36,0:47.36
1000 FR,10,724.55,12:04.55
1000 FR,11,722.7285714285715,12:02.73
1000 FR,12,673.6941176470588,11:13.69
1000 FR,13,637.0266666666666,10:37.03
1000 FR,14,618.5,10:18.50
1000 FR,15,602.8416666666667,10:02.84
1000 FR,16,599.5944444444444,9:59.59
1000 FR,17,595.1545454545454,9:55.15
1000 FR,18,595.8414634146342,9:55.84
1000 FR,19,588.4410714285714,9:48.44
1000 FR,20,588.4884615384616,9:48.49
1000 FR,21,591.7777777777778,9:51.78
1000 FR,22,591.7625,9:51.76
1000 FR,23,583.05,9:43.05
1000 FR,24,555.2,9:15.20
1000 FR,26,565.0999999999999,9:25.10
1000 FR,27,567.95,9:27.95
1000 FR,28,569.3,9:29.30
1000 FR,29,564.45,9:24.45
1000 FR,30,570.0,9:30.00
1000 FR,31,568.5,9:28.50
1000 FR,33,576.5,9:36.50
1650 FR,11,1141.2777777777778,19:01.28
1650 FR,12,1081.66,18:01.66
1650 FR,13,1043.325,17:23.33
1650 FR,14,1025.1962962962962,17:05.20
1650 FR,15,997.9777777777779,16:37.98
1650 FR,16,991.9,16:31.90
1650 FR,17,991.1263157894738,16:31.13
1650 FR,18,974.3,16:14.30
1650 FR,19,962.5274509803921,16:02.53
1650 FR,20,960.862857142857,16:00.86
1650 FR,21,961.2366666666666,16:01.24
1650 FR,22,967.3416666666667,16:07.34
1650 FR,23,968.9799999999999,16:08.98
1650 FR,24,959.4,15:59.40
1650 FR,25,901.4,15:01.40
1650 FR,26,932.3499999999999,15:32.35
1650 FR,27,942.2,15:42.20
1650 FR,28,946.8,15:46.80
1650 FR,29,931.0,15:31.00
1650 FR,31,948.0,15:48.00
1650 FR,34,952.6,15:52.60
200 BK,10,138.39999999999998,2:18.40
200 BK,11,142.25833333333333,2:22.26
200 BK,12,134.01874999999998,2:14.02
200 BK,13,126.96021505376343,2:06.96
200 BK,14,122.76279069767442,2:02.76
200 BK,15,119.50714285714285,1:59.51
200 BK,16,115.19814814814815,1:55.20
200 BK,17,116.35223880597016,1:56.35
200 BK,18,114.73823529411764,1:54.74
200 BK,19,114.22727272727273,1:54.23
200 BK,20,113.70227272727271,1:53.70
200 BK,21,112.61052631578947,1:52.61
200 BK,22,112.77777777777777,1:52.78
