Event,Age_at_time_of_Swim,min,max,Formatted_Min,Formatted_Max
100 BK SCY,5,102.6,102.6,1:42.60,1:42.60
100 BK SCY,6,85.9,132.4,1:25.90,2:12.40
100 BK SCY,7,79.1,126.4,1:19.10,2:06.40
100 BK SCY,8,68.2,114.0,1:08.20,1:54.00
100 BK SCY,9,66.3,118.7,1:06.30,1:58.70
100 BK SCY,10,59.89,107.0,0:59.89,1:47.00
100 BK SCY,11,56.93,94.6,0:56.93,1:34.60
100 BK SCY,12,54.21,83.5,0:54.21,1:23.50
100 BK SCY,13,51.96,82.9,0:51.96,1:22.90
100 BK SCY,14,50.44,76.7,0:50.44,1:16.70
100 BK SCY,15,49.53,71.0,0:49.53,1:11.00
100 BK SCY,16,49.46,69.5,0:49.46,1:09.50
100 BK SCY,17,49.66,67.5,0:49.66,1:07.50
100 BK SCY,18,50.02,64.3,0:50.02,1:04.30
100 BK SCY,19,49.0,62.0,0:49.00,1:02.00
100 BK SCY,20,48.26,62.1,0:48.26,1:02.10
100 BK SCY,21,48.1,67.1,0:48.10,1:07.10
100 BK SCY,22,49.13,68.1,0:49.13,1:08.10
100 BK SCY,23,48.55,52.5,0:48.55,0:52.50
100 BK SCY,28,50.7,50.7,0:50.70,0:50.70
100 BR SCY,6,107.0,131.9,1:47.00,2:11.90
100 BR SCY,7,91.7,135.2,1:31.70,2:15.20
100 BR SCY,8,82.0,127.3,1:22.00,2:07.30
100 BR SCY,9,80.7,161.6,1:20.70,2:41.60
100 BR SCY,10,69.1,126.4,1:09.10,2:06.40
100 BR SCY,11,66.0,120.3,1:06.00,2:00.30
100 BR SCY,12,62.6,98.8,1:02.60,1:38.80
100 BR SCY,13,61.8,94.1,1:01.80,1:34.10
100 BR SCY,14,61.3,85.9,1:01.30,1:25.90
100 BR SCY,15,58.8,79.5,0:58.80,1:19.50
100 BR SCY,16,58.19,78.0,0:58.19,1:18.00
100 BR SCY,17,58.87,75.5,0:58.87,1:15.50
100 BR SCY,18,57.29,78.9,0:57.29,1:18.90
100 BR SCY,19,57.03,70.7,0:57.03,1:10.70
100 BR SCY,20,56.93,72.4,0:56.93,1:12.40
100 BR SCY,21,56.99,69.4,0:56.99,1:09.40
100 BR SCY,22,56.67,78.8,0:56.67,1:18.80
100 BR SCY,23,56.85,62.0,0:56.85,1:02.00
100 FL SCY,6,83.0,122.9,1:23.00,2:02.90
100 FL SCY,7,76.4,110.1,1:16.40,1:50.10
100 FL SCY,8,70.5,131.3,1:10.50,2:11.30
100 FL SCY,9,64.4,114.2,1:04.40,1:54.20
100 FL SCY,10,59.8,115.9,0:59.80,1:55.90
100 FL SCY,11,57.61,92.9,0:57.61,1:32.90
100 FL SCY,12,54.73,87.5,0:54.73,1:27.50
100 FL SCY,13,51.46,83.7,0:51.46,1:23.70
100 FL SCY,14,51.52,73.8,0:51.52,1:13.80
100 FL SCY,15,50.19,70.9,0:50.19,1:10.90
100 FL SCY,16,50.13,71.2,0:50.13,1:11.20
100 FL SCY,17,49.49,67.4,0:49.49,1:07.40
100 FL SCY,18,50.18,65.9,0:50.18,1:05.90
100 FL SCY,19,49.88,62.2,0:49.88,1:02.20
100 FL SCY,20,49.11,62.8,0:49.11,1:02.80
100 FL SCY,21,47.42,61.3,0:47.42,1:01.30
100 FL SCY,22,49.55,60.1,0:49.55,1:00.10
